Book_name,Author,Rating,Book_genre_p,Book_genre_s,Book_ID
Of Mice and Men,John Steinbeck,3.88,Classics,School,36
The Time Traveler's Wife,Audrey Niffenegger ,3.97,Fiction,Fantasy,37
Dracula,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",4,Classics,Fiction,38
Brave New World,Aldous Huxley,3.99,Classics,Science Fiction,39
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa ",4.08,Fiction,Magical Realism,40
The Catcher in the Rye,J.D. Salinger,3.81,Classics,Young Adult,41
The Princess Bride,William Goldman,4.26,Fantasy,Classics,42
The Lightning Thief,Rick Riordan ,4.26,Fantasy,Mythology,43
The Secret Garden,Frances Hodgson Burnett,4.13,Classics,Childrens,44
A Thousand Splendid Suns,Khaled Hosseini ,4.38,Fiction,Contemporary,45
A Wrinkle in Time,Madeleine L'Engle,4,Fantasy,Classics,46
A Game of Thrones,George R.R. Martin,4.45,Fantasy,Epic Fantasy,47
The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell , John Seelye , Walter Trier (Ilustrator)",3.82,Classics,Historical Fiction,48
The Lovely Bones,Alice Sebold,3.82,Fiction,Young Adult,49
The Outsiders,S.E. Hinton ,4.1,Classics,Fiction,50
Where the Wild Things Are,Maurice Sendak,4.22,Childrens,Fiction,51
Green Eggs and Ham,Dr. Seuss,4.3,Childrens,Classics,52
The Odyssey,"Homer, Robert Fagles , Bernard Knox ",3.77,Classics,Poetry,53
Life of Pi,Yann Martel,3.91,Fiction,Classics,54
A Tale of Two Cities,"Charles Dickens, Richard Maxwell (Editor/Introduction)",3.85,Classics,Historical Fiction,55
Water for Elephants,Sara Gruen ,4.09,Fiction,Romance,56
Lolita,"Vladimir Nabokov, Craig Raine ",3.89,Classics,Literature,57
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,Classics,Science Fiction,58
Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte Gordon  ",3.81,Classics,Horror,59
The Kite Runner,"Khaled Hosseini , Berliani M. Nugrahani ",4.3,Fiction,Contemporary,60
The Handmaid's Tale,Margaret Atwood ,4.11,Fiction,Dystopia,61
The Giver,Lois Lowry ,4.13,Young Adult,Classics,62
Catch-22,Joseph Heller,3.98,Classics,War,63
Dune,Frank Herbert,4.23,Science Fiction,Fantasy,64
The Pillars of the Earth,Ken Follett ,4.31,Historical Fiction,Historical,65
The Stand,"Stephen King , Bernie Wrightson ",4.34,Horror,Fantasy,66
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,Classics,Fiction,67
Watership Down,Richard Adams,4.06,Classics,Fantasy,68
Great Expectations,"Charles Dickens, Παυλίνα Παμπούδη , Marisa Sestino ",3.78,Classics,Literature,69
Little Women,Louisa May Alcott,4.09,Classics,Historical Fiction,70
The Bell Jar,Sylvia Plath,4.01,Classics,Feminism,71
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,Fantasy,Fiction,72
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,Classics,Literature,73
Anna Karenina,"Leo Tolstoy, Aylmer Maude , Lev Tolstoi, Louise Maude , George Gibian (Preface)",4.05,Classics,Romance,74
Outlander,Diana Gabaldon ,4.23,Historical Fiction,Fantasy,75
My Sister's Keeper,Jodi Picoult ,4.08,Fiction,Chick Lit,76
Matilda,"Roald Dahl, Quentin Blake ",4.32,Childrens,Classics,77
The Fellowship of the Ring,J.R.R. Tolkien,4.36,Classics,Science Fiction Fantasy,78
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland ",4.14,Fiction,Suspense,79
Rebecca,Daphne du Maurier,4.23,Classics,Mystery,80
1984,George Orwell,4.19,Classics,Science Fiction,81
The Color Purple,Alice Walker,4.22,Classics,Historical Fiction,82
A Tree Grows in Brooklyn,Betty Smith,4.27,Classics,Historical Fiction,83
A Clockwork Orange,Anthony Burgess,3.99,Classics,Science Fiction,84
The Road,Cormac McCarthy,3.97,Fiction,Dystopia,85
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear , Larissa Volokhonsky ",4.32,Classics,Russia,86
Angela's Ashes,Frank McCourt,4.11,Nonfiction,Biography,87
Vampire Academy,Richelle Mead ,4.12,Young Adult,Vampires,88
Siddhartha,"Hermann Hesse, Hilda Rosner ",4.03,Classics,Philosophy,89
The Poisonwood Bible,Barbara Kingsolver,4.06,Fiction,Africa,90
The Golden Compass,Philip Pullman,3.99,Fantasy,Fiction,91
Don Quixote,"Miguel de Cervantes Saavedra, John Rutherford , Roberto González Echevarría ",3.88,Classics,Literature,92
Atlas Shrugged,"Ayn Rand, Leonard Peikoff  ",3.69,Classics,Literature,93
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré ",4.57,Fantasy,Fiction,94
The Old Man and the Sea,Ernest Hemingway,3.78,Classics,Literature,95
The Notebook,Nicholas Sparks ,4.11,Romance,Chick Lit,96
Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard ",4.34,Classics,Fiction,97
The Complete Stories and Poems,Edgar Allan Poe,4.38,Classics,Horror,98
Interview with the Vampire,Anne Rice,4,Horror,Fiction,99
A Prayer for Owen Meany,John Irving ,4.23,Fiction,Contemporary,100
"Moby-Dick or, the Whale","Herman Melville, Andrew Delbanco , Tom Quirk , Rockwell Kent ",3.51,Classics,Literature,101
The Red Tent,Anita Diamant ,4.18,Historical Fiction,Historical,102
The Secret Life of Bees,Sue Monk Kidd ,4.06,Fiction,Young Adult,103
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré ",4.56,Fantasy,Fiction,104
Clockwork Angel,"Cassandra Clare , Rita Sussekind ",4.32,Fantasy,Paranormal,105
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,Fantasy,Fiction,106
And Then There Were None,Agatha Christie,4.26,Mystery,Fiction,107
Middlesex,Jeffrey Eugenides,4.01,Fiction,Contemporary,108
The Stranger,"Albert Camus, Matthew Ward ",3.98,Classics,Philosophy,109
The Master and Margarita,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Ellendea Proffer, Diana Lewis Burgin ",4.29,Classics,Russia,110
The Name of the Wind,Patrick Rothfuss ,4.53,Fantasy,Epic Fantasy,111
The Shining,Stephen King ,4.23,Horror,Thriller,112
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye ",3.91,Classics,Adventure,113
Eragon,Christopher Paolini ,3.9,Fantasy,Fiction,114
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake ",4.14,Childrens,Fiction,115
Flowers for Algernon,Daniel Keyes,4.14,Fiction,Science Fiction,116
On the Road,Jack Kerouac,3.62,Classics,Travel,117
The Metamorphosis,"Franz Kafka, Stanley Corngold , Mircea Ivănescu ",3.82,Classics,Fantasy,118
Looking for Alaska,John Green ,4.02,Young Adult,Contemporary,119
The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves ",4.27,Fiction,Mystery,120
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,Fiction,Young Adult,121
The Very Hungry Caterpillar,Eric Carle,4.3,Picture Books,Fiction,122
Tuesdays with Morrie,Mitch Albom ,4.11,Nonfiction,Biography,123
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim ",4.1,Fiction,Philosophy,124
The Name of the Rose,"Umberto Eco, William Weaver ",4.12,Fiction,Mystery,125
Where the Red Fern Grows,Wilson Rawls,4.08,Classics,Young Adult,126
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré ",4.43,Fantasy,Fiction,127
The Godfather,"Mario Puzo, Robert Thompson , Peter Bart ",4.36,Fiction,Crime,128
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly , Nina Baym ",3.41,Classics,Historical Fiction,129
In Cold Blood,Truman Capote,4.07,Nonfiction,True Crime,130
Fight Club,Chuck Palahniuk ,4.19,Fiction,Classics,131
The Five People You Meet in Heaven,Mitch Albom ,3.94,Fiction,Contemporary,132
"Hush, Hush",Becca Fitzpatrick ,3.97,Young Adult,Romance,133
The Cat in the Hat,Dr. Seuss,4.17,Childrens,Classics,134
American Gods,Neil Gaiman ,4.11,Fantasy,Urban Fantasy,135
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss ",4.25,Classics,Historical Fiction,136
Lonesome Dove,Larry McMurtry,4.48,Fiction,Westerns,137
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods ",4.02,Fiction,Historical Fiction,138
Holes,Louis Sachar ,3.97,Young Adult,Childrens,139
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.22,Fantasy,Fiction,140
Watchmen,"Alan Moore , Dave Gibbons , John Higgins",4.36,Graphic Novels,Fiction,141
It,Stephen King ,4.24,Horror,Thriller,142
The Last Olympian,Rick Riordan ,4.51,Fantasy,Mythology,143
The Little House Collection,"Laura Ingalls Wilder, Garth Williams ",4.34,Classics,Childrens,144
The Divine Comedy,"Dante Alighieri, Allen Mandelbaum , Eugenio Montale ",4.05,Classics,Fiction,145
Peter Pan,"J.M. Barrie, Michael Hague ",4.05,Classics,Fiction,146
All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen ",3.98,Classics,Historical Fiction,147
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,Fantasy,Fiction,148
The Compleat Works of Wllm Shkspr (abridged),"Reduced Shakespeare Company, Adam Long , Daniel Singer , Jess Winfield (Editor)",4.44,Plays,Humor,149
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman ",3.92,Fiction,Historical Fiction,150
Shadow Kiss,Richelle Mead ,4.35,Young Adult,Fantasy,151
Insurgent,Veronica Roth ,4.02,Young Adult,Fiction,152
The Thorn Birds,Colleen McCullough,4.23,Fiction,Romance,153
A Walk to Remember,Nicholas Sparks ,4.18,Romance,Chick Lit,154
How the Grinch Stole Christmas!,Dr. Seuss,4.36,Childrens,Christmas,155
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.36,Science Fiction,Humor,156
Atonement,Ian McEwan,3.91,Fiction,Romance,157
The Importance of Being Earnest,Oscar Wilde,4.18,Classics,Fiction,158
"Eat, Pray, Love",Elizabeth Gilbert ,3.57,Nonfiction,Travel,159
Their Eyes Were Watching God,Zora Neale Hurston,3.94,Classics,Historical Fiction,160
The Three Musketeers,Alexandre Dumas,4.07,Classics,Historical Fiction,161
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow ",3.98,Classics,Fiction,162
Frostbite,Richelle Mead ,4.27,Young Adult,Fantasy,163
Goodnight Moon,"Margaret Wise Brown, Clement Hurd ",4.28,Childrens,Classics,164
The Lorax,Dr. Seuss,4.34,Childrens,Fiction,165
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman ",4.24,Fantasy,Humor,166
Blood Promise,Richelle Mead ,4.32,Young Adult,Fantasy,167
Tess of the D'Urbervilles,"Thomas Hardy, Margaret R. Higonnet , Maria Grazia Griffini , Tim Dolin ",3.8,Classics,Romance,168
The Good Earth,Pearl S. Buck,3.99,Classics,Historical Fiction,169
Heart of Darkness,"Joseph Conrad, Aníbal Fernandes ",3.43,Classics,Literature,170
The Battle of the Labyrinth,Rick Riordan ,4.39,Fantasy,Mythology,171
A Midsummer Night's Dream,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey ",3.95,Classics,Fiction,172
Clockwork Princess,Cassandra Clare ,4.57,Fantasy,Romance,173
The Prophet,Kahlil Gibran,4.22,Poetry,Classics,174
The Mists of Avalon,Marion Zimmer Bradley,4.11,Fantasy,Historical Fiction,175
The Titan's Curse,Rick Riordan ,4.35,Fantasy,Mythology,176
The Sea of Monsters,Rick Riordan ,4.24,Fantasy,Mythology,177
The Joy Luck Club,Amy Tan ,3.93,Fiction,Classics,178
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke ",4.02,Classics,Fiction,179
The Call of the Wild,"Jack London, Avi ",3.87,Classics,Adventure,180
Jonathan Livingston Seagull,"Richard Bach , Russell Munson (Photographer)",3.84,Fiction,Philosophy,181
The Phantom Tollbooth,"Norton Juster, Jules Feiffer ",4.2,Fantasy,Childrens,182
Bridge to Terabithia,Katherine Paterson,4.01,Young Adult,Classics,183
The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier , Pilar Ramírez Tello  , Hanna Hörl , Sylke Hachmeister , Peter Klöss ",4.48,Young Adult,Fantasy,184
"Oh, the Places You'll Go!",Dr. Seuss,4.35,Childrens,Fiction,185
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland ",4.24,Fiction,Thriller,186
The Maze Runner,James Dashner ,4.03,Young Adult,Science Fiction,187
The Neverending Story,"Michael Ende, Ralph Manheim , Roswitha Quadflieg ",4.17,Fantasy,Fiction,188
Oliver Twist,"Charles Dickens, Philip Horne , Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 ",3.87,Classics,Historical Fiction,189
Ulysses,"James Joyce, Morris L. Ernst, John M. Woolsey",3.73,Classics,Literature,190
Treasure Island,"Robert Louis Stevenson, David W. Whitehead , Richard S. Hartmetz  (Editor)",3.83,Classics,Adventure,191
Fifty Shades of Grey,E.L. James ,3.66,Romance,Erotica,192
The Clan of the Cave Bear,Jean M. Auel,4.05,Historical Fiction,Fantasy,193
A Storm of Swords,George R.R. Martin,4.53,Fantasy,Epic Fantasy,194
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill ",3.5,Classics,Poetry,195
The World According to Garp,John Irving ,4.09,Fiction,Contemporary,196
A Farewell to Arms,Ernest Hemingway,3.81,Classics,Historical Fiction,197
David Copperfield,"Charles Dickens, Jeremy Tambling ",4,Classics,Literature,198
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith ",3.54,Fantasy,Adult,199
Shōgun,James Clavell,4.39,Historical Fiction,Japan,200
Extremely Loud & Incredibly Close,Jonathan Safran Foer ,3.97,Fiction,Historical Fiction,201
Murder on the Orient Express,Agatha Christie,4.17,Mystery,Fiction,202
His Dark Materials,Philip Pullman,4.25,Fantasy,Fiction,203
A Little Princess,"Frances Hodgson Burnett, Nancy Bond",4.2,Classics,Childrens,204
The Other Boleyn Girl,Philippa Gregory ,4.07,Historical Fiction,Historical,205
Schindler's List,Thomas Keneally,4.34,History,Classics,206
The Boy in the Striped Pajamas,John Boyne,4.15,Historical Fiction,Young Adult,207
Jurassic Park,Michael Crichton,4.04,Science Fiction,Thriller,208
Last Sacrifice,Richelle Mead ,4.39,Young Adult,Fantasy,209
The Night Circus,Erin Morgenstern ,4.03,Fantasy,Romance,210
Fallen,Lauren Kate ,3.73,Young Adult,Romance,211
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith ",3.93,Fantasy,Classics,212
The Secret Magdalene,Ki Longfellow ,4.07,Historical Fiction,Religion,213
Beloved,Toni Morrison,3.87,Fiction,Historical Fiction,214
The Trial,"Franz Kafka, Max Brod , Willa Muir , Edwin Muir ",3.96,Classics,Literature,215
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy",3.89,Fiction,Humor,216
The Sun Also Rises,Ernest Hemingway,3.82,Classics,Literature,217
The Selection,Kiera Cass ,4.13,Young Adult,Dystopia,218
The Velveteen Rabbit,"Margery Williams Bianco, William Nicholson ",4.29,Childrens,Fiction,219
Catching Fire,Suzanne Collins,4.29,Young Adult,Fiction,220
The Lost Hero,Rick Riordan ,4.33,Fantasy,Mythology,221
Throne of Glass,Sarah J. Maas ,4.2,Fantasy,Romance,222
Spirit Bound,Richelle Mead ,4.35,Young Adult,Fantasy,223
Clockwork Prince,Cassandra Clare ,4.44,Fantasy,Romance,224
The Iliad/The Odyssey,"Homer, Robert Fagles , Bernard Knox ",4.04,Classics,Poetry,225
The Crucible,"Arthur Miller, Christopher Bigs",3.59,Classics,Fiction,226
Cat's Cradle,Kurt Vonnegut Jr.,4.16,Fiction,Science Fiction,227
The God of Small Things,"Arundhati Roy , Claude Demanuelli , Barbara Auer (Narrator), Diana Quick (Reading), Luana Stoica (trad.), Donada Peters (Narrator), Josep Julià Ballbé ",3.94,Fiction,Historical Fiction,228
The Wind in the Willows,"Kenneth Grahame, Gillian Avery ",3.98,Classics,Childrens,229
The Screwtape Letters,C.S. Lewis,4.22,Fiction,Christian,230
Girl with a Pearl Earring,Tracy Chevalier ,3.89,Historical Fiction,Historical,231
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill ",4.42,Nonfiction,History,232
A Light in the Attic,Shel Silverstein,4.34,Poetry,Classics,233
The Silence of the Lambs,Thomas Harris,4.2,Horror,Thriller,234
Shiver,Maggie Stiefvater ,3.77,Young Adult,Romance,235
Uglies,Scott Westerfeld ,3.86,Young Adult,Science Fiction,236
City of Fallen Angels,Cassandra Clare ,4.12,Fantasy,Paranormal,237
Man's Search for Meaning,"Viktor E. Frankl, Harold S. Kushner, William J. Winslade , Isle Lasch ",4.36,Nonfiction,Philosophy,238
She's Come Undone,Wally Lamb ,3.88,Fiction,Chick Lit,239
The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos ",3.96,Classics,Horror,240
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,Nonfiction,Memoir,241
Ella Enchanted,Gail Carson Levine ,3.98,Fantasy,Fiction,242
The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin ",4.16,Fiction,Japan,243
Cinder,Marissa Meyer ,4.14,Young Adult,Science Fiction,244
The Green Mile,Stephen King ,4.45,Horror,Fantasy,245
Blindness,José Saramago,4.13,Fiction,Science Fiction,246
A Clash of Kings,George R.R. Martin,4.41,Fantasy,Epic Fantasy,247
The Sound and the Fury,William Faulkner,3.86,Classics,Literature,248
The Shack,William Paul Young,3.78,Fiction,Christian Fiction,249
Marked,"P.C. Cast , Kristin Cast ",3.8,Young Adult,Fantasy,250
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.17,Historical Fiction,Historical,251
For Whom the Bell Tolls,Ernest Hemingway,3.97,Classics,Literature,252
Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman ",4.08,Fiction,Humor,253
The House of the Spirits,"Isabel Allende , Magda Bogin ",4.24,Fiction,Historical Fiction,254
The Complete Calvin and Hobbes,Bill Watterson,4.82,Comics,Graphic Novels,255
Roots: The Saga of an American Family,Alex Haley,4.43,Historical Fiction,Classics,256
Misery,Stephen King ,4.17,Horror,Thriller,257
Howl's Moving Castle,Diana Wynne Jones,4.26,Fantasy,Fiction,258
Stranger in a Strange Land,Robert A. Heinlein,3.92,Science Fiction,Classics,259
Island of the Blue Dolphins,Scott O'Dell,3.84,Young Adult,Historical Fiction,260
Midnight Sun [2008 Draft],Stephenie Meyer,4.02,Young Adult,Vampires,261
The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland ",4.22,Fiction,Thriller,262
The Secret History,Donna Tartt,4.09,Fiction,Contemporary,263
White Oleander,Janet Fitch ,3.97,Fiction,Drama,264
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt , 郭清玲 , Barbara Mooyaart-Doubleday ",4.15,Nonfiction,History,265
Delirium,Lauren Oliver ,3.97,Young Adult,Romance,266
Beautiful Disaster,Jamie McGuire ,4.09,Romance,Contemporary,267
Othello,William Shakespeare,3.9,Classics,Fiction,268
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow ,4.42,Historical Fiction,Fiction,269
Paper Towns,John Green ,3.8,Young Adult,Fiction,270
The Vampire Lestat,Anne Rice,4.07,Horror,Vampires,271
Speak,Laurie Halse Anderson ,4.02,Young Adult,Contemporary,272
The Idiot,"Fyodor Dostoyevsky, Anna Brailovsky , Eva M. Martin , Constance Garnett , Martin Geeson (Narrator), Joseph Frank ",4.18,Classics,Russia,273
King Lear,William Shakespeare,3.91,Classics,Drama,274
The Once and Future King,T.H. White,4.05,Fantasy,Fiction,275
I Know This Much Is True,Wally Lamb ,4.19,Fiction,Novels,276
Neverwhere,Neil Gaiman ,4.17,Fantasy,Urban Fantasy,277
Into the Wild,Jon Krakauer ,3.99,Nonfiction,Travel,278
Inkheart,"Cornelia Funke , Anthea Bell ",3.88,Fantasy,Fiction,279
Uncle Tom's Cabin,Harriet Beecher Stowe,3.87,Classics,Historical Fiction,280
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore ,4.24,Fiction,Historical Fiction,281
The Historian,Elizabeth Kostova,3.79,Fiction,Fantasy,282
The Complete Sherlock Holmes,Arthur Conan Doyle,4.48,Classics,Fiction,283
Candide,"Voltaire, Sara Gioacchino Corcos ",3.77,Classics,Philosophy,284
James and the Giant Peach,"Roald Dahl, Quentin Blake ",4.02,Childrens,Fiction,285
Invisible Man,Ralph Ellison,3.88,Classics,Literature,286
Gone Girl,Gillian Flynn ,4.08,Fiction,Thriller,287
Blood River: A Journey to Africa's Broken Heart,Tim Butcher ,4.06,Travel,Africa,288
Paradise Lost,"John Milton, John Leonard (Editor, Contributor)",3.81,Classics,Fiction,289
Leaves of Grass,Walt Whitman,4.12,Poetry,Fiction,290
All Creatures Great and Small,James Herriot,4.32,Nonfiction,Memoir,291
Graceling,Kristin Cashore,4.08,Fantasy,Romance,292
The Complete Works,William Shakespeare,4.5,Classics,Fiction,293
The Thirteenth Tale,Diane Setterfield ,3.97,Fiction,Historical Fiction,294
Foundation,Isaac Asimov,4.17,Science Fiction,Classics,295
Norwegian Wood,"Haruki Murakami, Jay Rubin ",4.03,Fiction,Romance,296
The Things They Carried,Tim O'Brien,4.13,Fiction,War,297
The Cider House Rules,John Irving ,4.13,Fiction,Historical Fiction,298
The Time Machine,"H.G. Wells, Greg Bear , Carlo Pagetti",3.89,Classics,Fiction,299
Different Seasons,Stephen King ,4.34,Horror,Short Stories,300
Kafka on the Shore,"Haruki Murakami, Philip Gabriel ",4.13,Fiction,Japan,301
Heidi,"Johanna Spyri, Beverly Cleary, Angelo Rinaldi ",3.99,Classics,Childrens,302
"Are You There God? It's Me, Margaret",Judy Blume ,3.9,Young Adult,Childrens,303
City of Lost Souls,Cassandra Clare ,4.27,Fantasy,Paranormal,304
Sophie's World,"Jostein Gaarder, Paulette Møller ",3.93,Philosophy,Classics,305
Walden,Henry David Thoreau,3.78,Classics,Philosophy,306
The Wise Man's Fear,Patrick Rothfuss ,4.56,Fantasy,Epic Fantasy,307
The Awakening,Kate Chopin,3.65,Classics,Feminism,308
Fangirl,Rainbow Rowell ,4.05,Young Adult,Romance,309
Sophie's Choice,William Styron,4.18,Fiction,Historical Fiction,310
The Prince of Tides,Pat Conroy,4.24,Fiction,Southern,311
Never Let Me Go,Kazuo Ishiguro,3.82,Fiction,Dystopia,312
The Son of Neptune,Rick Riordan ,4.43,Fantasy,Mythology,313
Dead Until Dark,Charlaine Harris ,3.96,Fantasy,Paranormal,314
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,Fiction,LGBT,315
Fifty Shades Darker,E.L. James ,3.84,Romance,Fiction,316
Ready Player One,Ernest Cline ,4.26,Science Fiction,Young Adult,317
Middlemarch,"George Eliot, Michel Faber ",3.97,Classics,Historical Fiction,318
The Monster at the End of this Book,"Jon Stone, Michael J. Smollin ",4.44,Picture Books,Fiction,319
A Court of Mist and Fury,Sarah J. Maas ,4.62,Fantasy,Young Adult,320
Things Fall Apart,Chinua Achebe,3.68,Fiction,Historical Fiction,321
Bridget Jones's Diary,"Helen Fielding , Хелен Филдинг",3.78,Fiction,Romance,322
Mrs. Dalloway,"Virginia Woolf, Maureen Howard",3.79,Classics,Literature,323
Mockingjay,Suzanne Collins,4.04,Young Adult,Fiction,324
Franny and Zooey,J.D. Salinger,3.98,Fiction,Short Stories,325
The Power of One,Bryce Courtenay,4.33,Fiction,Africa,326
The Magician's Nephew,C.S. Lewis,4.04,Fantasy,Fiction,327
Stardust,Neil Gaiman ,4.08,Fantasy,Romance,328
A Time to Kill,John Grisham ,4.07,Fiction,Thriller,329
The Gunslinger,Stephen King ,3.95,Fantasy,Horror,330
Number the Stars,Lois Lowry ,4.15,Historical Fiction,Fiction,331
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.08,Science Fiction,Classics,332
Allegiant,Veronica Roth ,3.62,Young Adult,Fiction,333
